Entrez	NES	pvalue
Lhx4	0.820122075963187	0.412146518478839
Thra	0.818648270411334	0.412987118318607
Rfx1	0.812122660554949	0.416721251596182
Nfil3	0.808061322703596	0.419055281469617
Aire	0.806878670755661	0.419736388417095
Sp1	0.806068258134609	0.420203492654889
Zbtb26	0.802789420171014	0.422096458237909
Zmiz2	0.801511320987201	0.422835692785075
Zfp106	0.795072212119375	0.426571497711366
Esrrg	0.790687447668184	0.429126402721631
Smad9	0.790641256510998	0.429153364546327
Fosb	0.790371992400842	0.429310553876683
Pax8	0.789472690975054	0.429835784920947
Sox14	0.789352539427959	0.429905986889105
Hivep3	0.789300269918528	0.429936528919116
Irf9	0.787468272608776	0.431007794261335
Zfyve21	0.786616112465268	0.431506624283339
Lmo1	0.786194136341742	0.431753760796247
Zc3h10	0.784015763011426	0.433030861074018
Zkscan5	0.782355305131287	0.434005792842276
Myod1	0.778652953327764	0.436184176840239
Neurog3	0.778290286382376	0.436397900638916
Grhl2	0.776238515221374	0.437608168859142
Tcf3	0.774533061407308	0.438615624797854
Scx	0.772228078771283	0.439979353919508
Nr1h2	0.771016613107153	0.440697084525786
Nfix	0.767347804699753	0.442874752805249
Glis1	0.760594312189716	0.446899418084684
Zbbx	0.758234843798591	0.448310405331175
Cic	0.757581856977345	0.448701344923695
Zfp771	0.757556486007055	0.448716538287504
Elf2	0.755512081508029	0.449941786027397
Zbtb48	0.753248473621878	0.451300615577055
Mef2c	0.752047926626593	0.452022237627552
Smarca4	0.750922211235021	0.452699472223778
Scml2	0.74414711590018	0.456787477751785
Hmg20b	0.743813375733212	0.456989386951345
Atoh8	0.74366347937435	0.457080088944941
Lbx1	0.739017244741375	0.459896525945825
Rbck1	0.737717549823999	0.460686105225023
Pitx1	0.736118969507208	0.461658299397394
Zdhhc8	0.73581166960608	0.461845318416316
Meox2	0.735108492937149	0.462273422366228
Rhox9	0.732890872518089	0.463624990533127
Atf6b	0.728885563620476	0.466071666237602
Mier2	0.726182259836078	0.467727045851558
Nr0b2	0.726129457067123	0.467759412260165
Runx3	0.726072698537846	0.467794204807277
Kmt2a	0.725836718672655	0.467938874044078
Ubp1	0.721913112868106	0.470347898738024
Pou6f1	0.71984865608598	0.471618183464677
Arap1	0.719431611885696	0.471875025152579
Bmyc	0.71654014604906	0.473657887620729
Vav1	0.716365738819965	0.473765544507903
Trp53	0.711594054004782	0.476716190094412
Zbtb16	0.709592822233831	0.477956671983121
Mynn	0.70765835836774	0.47915744276931
Gon4l	0.706722094256735	0.479739196507282
Snapc5	0.706345721423079	0.479973166715959
Foxq1	0.705645356737773	0.48040871034157
Arnt2	0.698323425933786	0.48497495228947
Dmrtc2	0.694648929337616	0.487275340745289
Pparg	0.692762074989623	0.488458876055414
Sox2	0.690845789038921	0.489662456886578
Crebrf	0.687908999532549	0.491510088930465
Nfe2l3	0.687666309756358	0.491662940406291
Tfap2a	0.685904880131015	0.492773092601575
Pou5f1	0.684047792390609	0.49394498726581
